,tweet_text,Positive,Neutral,Negative,Key_Phrases,images,PercentageLikelihoodTrumpInImage
0,"RT @WillyWonkaXRP: Biden is in HOT water now!! 

Please Share and Comment ????????

#BidenGate #Biden #Trump 

https://t.co/cclEwL9j6T",0.02,0.98,0.0,"['WillyWonkaXRP', 'HOT water', 'Trump', 'BidenGate', 'RT', 'Comment']",http://pbs.twimg.com/ext_tw_video_thumb/1263985953720459264/pu/img/hDpFkNu4jZkGwngZ.jpg,7.84%
1,"RT @JerryHicksUnite: Let this sink in - In Trumps America - This
https://t.co/XVZGao4nBZ Please retweet #Trump #AmericanMonster",0.06,0.59,0.35,"['sink', 'RT', 'JerryHicksUnite', 'Trumps America', 'AmericanMonster']",http://pbs.twimg.com/ext_tw_video_thumb/1269090761326411779/pu/img/JdEnFjFQnyDcjrhV.jpg,0.00%
2,"RT @scarletmonahan: BREAKING ""The Evening News"" #freemusic https://t.co/bnm1FUZ4M7  #art #Gaza #Israel #Iraq #trump #putin #northkorea #mus…",0.04,0.78,0.18,"['trump', 'Iraq', 'putin', 'art', 'Gaza', 'Israel', 'Evening News', 'scarletmonahan', 'BREAKING', 'freemusic']",http://pbs.twimg.com/ext_tw_video_thumb/1280261416226885633/pu/img/r_3jPYalWfUXZK7O.jpg,0.84%
3,RT @skb_sara: On the #TrumpTrain.Put our #earlyvote in for #Trump. #Florida4Trump #GOP #tcot ???????????????? @DanScavino https://t.co/fzIRP,0.19,0.77,0.04,"['sara', 'earlyvote', 'Florida4Trump', 'GOP', 'tcot', 'TrumpTrain', 'RT', 'skb', 'DanScavino']",http://pbs.twimg.com/media/CdTGSH6UkAAPrNZ.jpg,0.00%
4,RT @roweafr: summer loving @FinancialReview #Trump #COVIDー19 #etc https://t.co/tZ6N0SIeMs,0.95,0.05,0.0,"['FinancialReview', 'summer loving', 'Trump', 'roweafr', 'COVIDー', 'RT']",http://pbs.twimg.com/media/Eb5zpQYU4AADQsP.jpg,0.00%
5,"RT @Huge2na: How do you feel about this? Just spotted Kelford, NC fire company. #Trump #Kelford #ResignNowTrump https://t.co/JBv8lOZFUJ",0.12,0.84,0.04,"['spotted Kelford', 'NC', 'company', 'ResignNowTrump', 'RT', 'Huge2na']",http://pbs.twimg.com/media/EcGW7fkWsAYVY3o.jpg,0.00%
6,RT @gritsygirl1: Two parents. 1 choice. #Biden outshines #Trump every time and in every way. #MorningJoe https://t.co/rByrD2TJLX,0.1,0.88,0.02,"['Trump', 'time', 'RT', 'gritsygirl1', 'parents', 'Biden', 'way', 'choice', 'MorningJoe']",http://pbs.twimg.com/media/EdDItNBXsAELITo.jpg,2.52%
7,RT @TerryMosher1: Aislin Saturday #MontrealGazette cartoon on #Trump and #Fauci: https://t.co/HilNbh9qh2 https://t.co/Ub7Cq80sIE,0.01,0.99,0.0,"['MontrealGazette cartoon', 'TerryMosher1', 'Aislin', 'Trump', 'Fauci']",http://pbs.twimg.com/media/EdH_LZnWAAA3qe8.jpg,0.03%
8,"RT @TheOtherRosie: What #Trump's campaign ad, against Biden, tells us about #TrumpsAmerica: https://t.co/RgM77FVX9m",0.03,0.41,0.56,"[""Trump's campaign ad"", 'Biden', 'TheOtherRosie', 'RT', 'TrumpsAmerica']",http://pbs.twimg.com/media/EdMl2xRWsAAQvvL.jpg,0.00%
9,RT @kaltoons: Listen to Science. From @newcounterpoint #Fauci #COVID19 #coronavirus #Trump #satire #cartoons https://t.co/vlzRkn58S3,0.71,0.25,0.04,"['coronavirus', 'COVID19', 'Trump', 'Fauci', 'satire', 'cartoons', 'newcounterpoint', 'kaltoons', 'Science']",http://pbs.twimg.com/media/EdO-3IeXkAAeCJc.jpg,0.00%
10,RT @roweafr: corona mask league @FinancialReview #MaskUpMelbourne #COVID19au #trump https://t.co/FhW0ETNufE,0.0,1.0,0.0,"['FinancialReview', 'corona mask league', 'MaskUpMelbourne', 'roweafr', 'COVID19au', 'RT', 'trump']",http://pbs.twimg.com/media/EdRj5dpUYAAfFI7.jpg,0.00%
11,RT @AnonNewsDE: The J in Donald J. #Trump stands for genius ???? https://t.co/nqF4aBUW0L,0.7,0.28,0.02,"['Donald', 'AnonNewsDE', 'Trump', 'RT', 'genius']",http://pbs.twimg.com/media/EdT5c1lXYAc_F_F.jpg,100.00%
12,RT @AndyOstroy: @realDonaldTrump Humiliating...historic... landslide. It’s coming....  #Trump #Election2020  #Biden https://t.co/Ez8D04QwdE,0.02,0.31,0.67,"['realDonaldTrump Humiliating', 'AndyOstroy', 'RT', 'landslide', 'Election2020', 'Biden']",http://pbs.twimg.com/media/EdUnv3xWsAgkq-f.jpg,0.07%
13,"RT @Nanook396: @reaIDonalTrump_ ???????????????????????? ...Yes, Mr. President #Trump ???????? ????????✨???????????? https://t.co/HoP8LLQIEM",0.02,0.97,0.01,"['RT', 'Nanook396', 'reaIDonalTrump', 'President']",http://pbs.twimg.com/media/EdUz59gXoAI0sFy.jpg,0.01%
14,"RT @RT_com: #Trump plans to resume his ‘successful’ televised coronavirus briefings

➡️ https://t.co/XLBuZGhpT2 https://t.co/OZdh1togzA",0.1,0.84,0.06,"['RT', 'Trump plans', 'com', 'televised coronavirus briefings']",http://pbs.twimg.com/media/EdY8zsgWAAARTwa.jpg,100.00%
15,"RT @EbbeSand: Hey @realDonaldTrump, your Mom was right. ???????????? #Trump https://t.co/rd2vKqrHod",0.88,0.07,0.05,"['realDonaldTrump', 'RT', 'EbbeSand', 'Mom']",http://pbs.twimg.com/media/EdYISy0WoAAU9bL.jpg,99.58%
16,@OriginalSuperE @HKrassenstein @realDonaldTrump HAHAHHA !!! An unemployed actor against #TRUMP how original!! https://t.co/djzy4IIdvY,0.0,0.02,0.98,"['unemployed actor', 'OriginalSuperE', 'HKrassenstein', 'realDonaldTrump HAHAHHA']",http://pbs.twimg.com/media/EdZ0aCfXYAE0dQF.jpg,79.77%
17,"#Trump #Poetry Part 1: ""It's all misrepresentation."" https://t.co/FJ1PfovmJz",0.02,0.1,0.88,"['Trump', 'Poetry', 'misrepresentation']",http://pbs.twimg.com/media/EdZ1usKWAAIEk8U.png,0.00%
18,"#Trump 2020! I'd Donate, For This Well Deserved Commendation! https://t.co/bAek4OW3uM",0.62,0.36,0.02,"['Deserved Commendation', 'Trump']",http://pbs.twimg.com/media/EdZ3A-NWkAAZmSW.jpg,0.11%
19,"#Israel #trump #LDS #FLDS  Christ Jesus is COMING back Adar 12,000 Jewish calendar love Enoch sar ha-padim https://t.co/JoOYWJjSi4",0.44,0.56,0.0,"['Adar', 'Jewish calendar love Enoch sar ha-padim', 'FLDS  Christ Jesus', 'trump', 'Israel']",http://pbs.twimg.com/media/EdZ3bbKWsAkbcNs.jpg,image doesn't exist or couldn't predict
20,"#Trump's #Death Chart, he likes the #TrumpVirus numbers https://t.co/o5Mpn5f0X5",0.02,0.01,0.97,"['Death Chart', ""Trump's"", 'TrumpVirus numbers']",http://pbs.twimg.com/media/EdZ5QF-XsAId_DB.png,image doesn't exist or couldn't predict
21,@realDonaldTrump is for the people. America first #MAGA #MAGA2020 #4MoreYears #trump #Trump2020 https://t.co/By9w1UMWYJ,0.09,0.88,0.03,"['MAGA2020', 'MoreYears', 'America', 'Trump2020', 'realDonaldTrump', 'people']",http://pbs.twimg.com/media/EdZ68pRWkAcpt_n.jpg,0.00%
22,@AllenWest @realDonaldTrump #trump releases his 2021 health plan for Americans https://t.co/pH0cdfDAiV,0.01,0.98,0.01,"['health plan', 'realDonaldTrump', 'AllenWest', 'Americans']",http://pbs.twimg.com/media/EdZ7wMZXgAAtD6P.jpg,0.00%
23,Investigate trump trying to murder this woman and her family along with Epstein. #trump #Republicans #GOP #Epstein https://t.co/m3kqJz78z9,0.0,0.01,0.99,"['Epstein', 'trump', 'woman', 'Republicans', 'GOP', 'family']",http://pbs.twimg.com/media/EdZ8AAiVcAA0qEE.jpg,99.62%
24,All hail King Idiotic Fuckface.   #trump #antichrist  #conman https://t.co/YKbHr2Y3df,0.0,0.01,0.99,"['hail King Idiotic Fuckface', 'trump', 'antichrist', 'conman']",http://pbs.twimg.com/media/EdZ8NkOWsAEvgQ0.jpg,71.58%
25,"RT @Edzila: Operation ‘Just Let Him Speak’ is working brilliantly

@POTUS #Trump says #ShowMeTheDeathChart...  

https://t.co/nVFOxP4yWJ",0.03,0.01,0.96,"['Edzila', 'Operation', 'POTUS', 'Trump', 'ShowMeTheDeathChart']",http://pbs.twimg.com/media/EdZGdg4WAAEttl0.jpg,94.63%
26,RT @MalcolmNance: Who wore it better: #Trump #CobraCommander or #Bane https://t.co/04xiUg0qSc,0.03,0.63,0.34,"['Trump', 'CobraCommander', 'Bane', 'RT', 'MalcolmNance']",http://pbs.twimg.com/media/EdZm_IwWkAEfYx7.jpg,82.74%
27,"@davidgura #trump plays his #violin 
#TrumpPandemicFailure 
#TrumpVirusKills145K https://t.co/FQqnyhTNe8",0.0,0.0,1.0,"['davidgura', 'violin', 'TrumpPandemicFailure', 'TrumpVirusKills145K']",http://pbs.twimg.com/media/EdZnG6QXYAA3hFf.jpg,99.57%
28,"RT @ahramonline: #Egypt's #Sisi, #Trump discuss #Libya, #GERD developments  https://t.co/JrkDVj97FO https://t.co/v6k3AMRAuk",0.05,0.89,0.06,"[""Egypt's"", 'Libya', 'Sisi', 'Trump', 'ahramonline', 'GERD developments', 'RT']",http://pbs.twimg.com/media/EdZNXOXXYAEFuoW.jpg,100.00%
29,RT @qnbechtel: #Trump says the US has 'the best mortality rate' in the world. He is an unscrupulous liar! https://t.co/2OzT268v51,0.5,0.0,0.5,"['best mortality rate', 'qnbechtel', 'Trump', 'world', 'unscrupulous liar']",http://pbs.twimg.com/media/EdZpsqjXYAIGtrg.jpg,0.00%
